Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,38,Male,16,Partnered,3,3,56850,75
TM195,39,Male,16,Partnered,4,4,59124,132
TM195,40,Male,16,Partnered,3,3,61398,66
TM195,41,Male,16,Partnered,4,3,54576,103
TM195,43,Male,16,Partnered,3,3,53439,66
TM195,44,Female,16,Single,3,4,57987,75
TM195,46,Female,16,Partnered,3,2,60261,47
TM195,47,Male,16,Partnered,4,3,56850,94
TM195,50,Female,16,Partnered,3,3,64809,66
TM498,19,Male,14,Single,3,3,31836,64
TM498,20,Male,14,Single,2,3,32973,53
TM498,20,Female,14,Partnered,3,3,34110,106
TM498,20,Male,14,Single,3,3,38658,95
TM498,21,Female,14,Partnered,5,4,34110,212
TM498,21,Male,16,Partnered,2,2,34110,42
TM498,21,Male,12,Partnered,2,2,32973,53
TM498,23,Male,14,Partnered,3,3,36384,95
TM498,23,Male,14,Partnered,3,3,38658,85
TM498,23,Female,16,Single,3,3,45480,95
TM498,23,Male,16,Partnered,4,3,45480,127
TM498,23,Female,16,Partnered,3,2,43206,74
TM498,23,Female,14,Single,3,2,40932,53
TM498,23,Male,16,Partnered,3,3,45480,64
TM498,24,Female,14,Single,3,2,40932,85
TM498,24,Male,14,Single,3,4,48891,106
TM498,24,Female,16,Single,3,3,50028,106
TM498,25,Female,14,Partnered,2,3,45480,85
TM498,25,Female,14,Single,3,4,43206,127
TM498,25,Male,16,Partnered,2,2,52302,42
TM498,25,Female,14,Partnered,5,3,47754,106
TM498,25,Male,14,Single,3,3,45480,95
TM498,25,Female,14,Single,2,3,43206,64
TM498,25,Male,14,Partnered,4,3,45480,170
TM498,25,Male,14,Partnered,3,4,43206,106
TM498,25,Male,16,Partnered,2,3,50028,53
TM498,25,Female,14,Single,2,2,45480,42
TM498,25,Male,14,Single,4,3,48891,127
TM498,26,Female,16,Partnered,4,3,45480,85
TM498,26,Female,16,Single,4,4,50028,127
TM498,26,Male,16,Single,4,3,51165,106
TM498,27,Male,14,Single,4,2,45480,53
TM498,29,Female,14,Partnered,3,3,51165,95
TM498,30,Female,14,Single,3,3,57987,74
TM498,30,Female,13,Single,4,3,46617,106
TM498,31,Male,16,Partnered,3,3,52302,95
TM498,31,Female,16,Partnered,2,3,51165,64
TM498,31,Female,18,Single,2,1,65220,21
TM498,32,Male,16,Single,4,3,60261,127
TM498,32,Male,16,Partnered,3,3,53439,95
TM498,33,Male,13,Partnered,4,4,53439,170
TM498,33,Female,16,Partnered,2,3,50028,85
TM498,33,Male,16,Partnered,3,3,51165,95
TM498,33,Female,16,Partnered,5,3,53439,95
TM498,33,Female,18,Single,3,4,47754,74
TM498,34,Female,16,Partnered,4,3,64809,95
TM498,34,Male,16,Partnered,3,4,59124,85
TM498,34,Male,15,Single,3,3,67083,85
TM498,35,Female,14,Partnered,3,2,52302,53
TM498,35,Male,16,Partnered,3,2,53439,53
TM498,35,Female,16,Single,3,2,50028,64
TM498,35,Male,16,Partnered,3,3,53439,95
TM498,37,Female,16,Partnered,2,3,48891,85
TM498,38,Female,16,Partnered,4,3,62535,85
TM498,38,Male,16,Partnered,3,3,59124,106
TM498,40,Female,16,Partnered,3,3,61398,85
TM498,40,Female,16,Single,3,3,57987,85
TM498,40,Male,16,Partnered,3,3,64809,95
TM498,45,Male,16,Partnered,2,2,54576,42
TM498,48,Male,16,Partnered,2,3,57987,64
TM798,22,Male,14,Single,4,3,48658,106
TM798,22,Male,16,Single,3,5,54781,120
TM798,22,Male,18,Single,4,5,48556,200
TM798,23,Male,16,Single,4,5,58516,140
TM798,23,Female,18,Single,5,4,53536,100
TM798,23,Male,16,Single,4,5,48556,100
TM798,24,Male,16,Single,4,5,61006,100
TM798,24,Male,18,Partnered,4,5,57271,80
TM798,24,Female,16,Single,5,5,52291,200
TM798,24,Male,16,Single,5,5,49801,160
TM798,25,Male,16,Partnered,4,5,49801,120
TM798,25,Male,16,Partnered,4,4,62251,160
TM798,25,Female,18,Partnered,5,5,61006,200
TM798,25,Male,18,Partnered,4,3,64741,100
TM798,25,Male,18,Partnered,6,4,70966,180
TM798,25,Male,18,Partnered,6,5,75946,240
TM798,25,Male,20,Partnered,4,5,74701,170
TM798,26,Female,21,Single,4,3,69721,100
TM798,26,Male,16,Partnered,5,4,64741,180
TM798,27,Male,16,Partnered,4,5,83416,160
TM798,27,Male,18,Single,4,3,88396,100
TM798,27,Male,21,Partnered,4,4,90886,100
TM798,28,Female,18,Partnered,6,5,92131,180
TM798,28,Male,18,Partnered,7,5,77191,180
TM798,28,Male,18,Single,6,5,88396,150
TM798,29,Male,18,Single,5,5,52290,180
TM798,29,Male,14,Partnered,7,5,85906,300
TM798,30,Female,16,Partnered,6,5,90886,280
TM798,30,Male,18,Partnered,5,4,103336,160
TM798,30,Male,18,Partnered,5,5,99601,150
TM798,31,Male,16,Partnered,6,5,89641,260
TM798,33,Female,18,Partnered,4,5,95866,200
TM798,34,Male,16,Single,5,5,92131,150
TM798,35,Male,16,Partnered,4,5,92131,360
TM798,38,Male,18,Partnered,5,5,104581,150
TM798,40,Male,21,Single,6,5,83416,200
TM798,42,Male,18,Single,5,4,89641,200
TM798,45,Male,16,Single,5,5,90886,160
TM798,47,Male,18,Partnered,4,5,104581,120
TM798,48,Male,18,Partnered,4,5,95508,180
TM195,25,Male,15,Single,4,3,35000,50
TM798,35,Female,18,Married,5,5,80000,100
TM498,28,Male,14,Single,3,4,45000,60
TM798,30,Male,16,Married,4,5,75000,120
TM195,22,Female,13,Single,2,2,30000,40
TM498,40,Male,20,Married,6,5,65000,80
TM798,33,Female,17,Married,5,5,85000,150
TM195,19,Male,15,Single,3,3,32000,55
TM498,45,Male,19,Married,5,4,70000,90
TM798,27,Female,16,Married,4,5,90000,130
TM195,23,Female,14,Single,2,2,28000,45
TM498,38,Male,18,Married,6,5,60000,70
TM798,29,Male,17,Married,5,5,78000,140
TM195,26,Male,16,Single,3,3,33000,60
TM498,32,Female,15,Married,4,4,55000,75
TM798,36,Male,20,Married,6,5,82000,160
TM195,21,Female,14,Single,2,2,31000,50
TM498,42,Male,16,Married,5,4,68000,85
TM798,31,Female,18,Married,5,5,88000,140
TM195,24,Male,15,Single,3,3,36000,55
TM498,48,Male,19,Married,5,4,72000,95
TM798,34,Female,17,Married,6,5,84000,150
TM195,20,Female,14,Single,2,2,29000,45
TM498,36,Male,18,Married,4,4,58000,65
TM798,32,Male,20,Married,6,5,80000,160
TM195,27,Male,16,Single,3,3,34000,60
TM498,34,Female,15,Married,5,4,60000,75
TM798,39,Male,19,Married,6,5,86000,140
TM195,22,Female,14,Single,2,2,32000,50
TM498,43,Male,16,Married,5,4,70000,85
TM798,37,Female,18,Married,5,5,90000,150
TM195,28,Male,15,Single,3,3,37000,55
TM498,49,Male,19,Married,5,4,74000,100
TM798,35,Female,17,Married,6,5,82000,160
TM195,23,Female,14,Single,2,2,30000,45
TM498,39,Male,18,Married,4,4,59000,70
TM798,33,Male,20,Married,6,5,78000,150
TM195,29,Male,16,Single,3,3,35000,60
TM498,35,Female,15,Married,5,4,61000,75
TM798,40,Male,19,Married,6,5,84000,140
TM195,24,Female,14,Single,2,2,31000,50
TM498,44,Male,16,Married,5,4,72000,85
TM798,38,Female,18,Married,5,5,90000,150
TM195,30,Male,15,Single,3,3,38000,55
TM498,50,Male,19,Married,5,4,75000,100
TM798,36,Female,17,Married,6,5,82000,160
TM195,25,Female,14,Single,2,2,32000,45
TM498,40,Male,18,Married,4,4,60000,70
TM798,34,Male,20,Married,6,5,80000,150
TM195,31,Male,16,Single,3,3,36000,60
TM498,36,Female,15,Married,5,4,61000,75
TM798,41,Male,19,Married,6,5,84000,140
TM195,26,Female,14,Single,2,2,31000,50
TM498,45,Male,16,Married,5,4,72000,85
TM798,37,Female,18,Married,5,5,90000,150
TM195,32,Male,15,Single,3,3,38000,55
TM498,46,Male,19,Married,5,4,75000,100
TM798,35,Female,17,Married,6,5,82000,160
TM195,27,Female,14,Single,2,2,32000,45
TM498,41,Male,18,Married,4,4,60000,70
TM798,33,Male,20,Married,6,5,80000,150
TM195,33,Male,16,Single,3,3,36000,60
TM498,37,Female,15,Married,5,4,61000,75
TM798,42,Male,19,Married,6,5,84000,140
TM195,28,Female,14,Single,2,2,31000,50
TM498,48,Male,16,Married,5,4,72000,85
TM798,38,Female,18,Married,5,5,90000,150
TM195,34,Male,15,Single,3,3,38000,55
TM498,49,Male,19,Married,5,4,75000,100
TM798,36,Female,17,Married,6,5,82000,160
TM195,29,Female,14,Single,2,2,32000,45
TM498,39,Male,18,Married,4,4,60000,70
TM798,34,Male,20,Married,6,5,80000,150
TM195,35,Male,16,Single,3,3,36000,60
TM498,36,Female,15,Married,5,4,61000,75
TM798,43,Male,19,Married,6,5,84000,140
TM195,30,Female,14,Single,2,2,31000,50
TM498,40,Male,16,Married,5,4,72000,85
TM798,37,Female,18,Married,5,5,90000,150
TM195,36,Male,15,Single,3,3,38000,55
TM498,50,Male,19,Married,5,4,75000,100
TM798,35,Female,17,Married,6,5,82000,160
TM195,31,Female,14,Single,2,2,32000,45
TM498,41,Male,18,Married,4,4,60000,70
TM798,33,Male,20,Married,6,5,80000,150
TM195,37,Male,16,Single,3,3,36000,60
TM498,37,Female,15,Married,5,4,61000,75
TM798,44,Male,19,Married,6,5,84000,140
TM195,32,Female,14,Single,2,2,31000,50
TM498,42,Male,16,Married,5,4,72000,85
TM798,38,Female,18,Married,5,5,90000,150
TM195,38,Male,15,Single,3,3,38000,55
TM498,49,Male,19,Married,5,4,75000,100
TM798,36,Female,17,Married,6,5,82000,160
TM195,33,Female,14,Single,2,2,32000,45
TM498,43,Male,18,Married,4,4,60000,70
TM798,34,Male,20,Married,6,5,80000,150
TM195,39,Male,16,Single,3,3,36000,60
TM498,36,Female,15,Married,5,4,61000,75
TM798,45,Male,19,Married,6,5,84000,140
TM195,34,Female,14,Single,2,2,31000,50
TM498,44,Male,16,Married,5,4,72000,85
TM798,39,Female,18,Married,5,5,90000,150
TM195,40,Male,15,Single,3,3,38000,55
TM498,50,Male,19,Married,5,4,75000,100
TM798,37,Female,17,Married,6,5,82000,160
TM195,35,Female,14,Single,2,2,32000,45
TM498,45,Male,16,Married,5,4,72000,85
TM798,38,Female,18,Married,5,5,90000,150
TM195,36,Male,15,Single,3,3,38000,55
TM498,49,Male,19,Married,5,4,75000,100
TM798,36,Female,17,Married,6,5,82000,160
TM195,37,Female,14,Single,2,2,32000,45
TM498,41,Male,18,Married,4,4,60000,70
TM798,33,Male,20,Married,6,5,80000,150
TM195,38,Male,16,Single,3,3,36000,60
TM498,37,Female,15,Married,5,4,61000,75
TM798,44,Male,19,Married,6,5,84000,140
TM195,39,Female,14,Single,2,2,31000,50
TM498,44,Male,16,Married,5,4,72000,85
TM798,39,Female,18,Married,5,5,90000,150
TM195,40,Male,15,Single,3,3,38000,55
TM498,50,Male,19,Married,5,4,75000,100
TM798,37,Female,17,Married,6,5,82000,160
TM195,35,Female,14,Single,2,2,32000,45
TM498,45,Male,16,Married,5,4,72000,85
TM798,38,Female,18,Married,5,5,90000,150
TM195,36,Male,15,Single,3,3,38000,55
TM498,49,Male,19,Married,5,4,75000,100
TM798,36,Female,17,Married,6,5,82000,160
TM195,37,Female,14,Single,2,2,32000,45
TM498,41,Male,18,Married,4,4,60000,70
TM798,33,Male,20,Married,6,5,80000,150
TM195,38,Male,16,Single,3,3,36000,60
TM498,37,Female,15,Married,5,4,61000,75
TM798,44,Male,19,Married,6,5,84000,140
TM195,39,Female,14,Single,2,2,31000,50
TM498,44,Male,16,Married,5,4,72000,85
TM798,39,Female,18,Married,5,5,90000,150
TM195,40,Male,15,Single,3,3,38000,55
TM498,50,Male,19,Married,5,4,75000,100
TM798,37,Female,17,Married,6,5,82000,160
TM195,25,Male,14,Single,3,3,34000,60
TM498,35,Female,18,Married,5,4,60000,75
TM798,40,Male,20,Married,6,5,80000,150
TM195,22,Female,13,Single,2,2,31000,50
TM498,30,Male,15,Married,4,3,55000,70
TM798,28,Female,17,Married,5,5,85000,140
TM195,21,Male,14,Single,2,2,32000,45
TM498,37,Male,16,Married,5,4,68000,85
TM798,33,Female,18,Married,5,5,88000,150
TM195,24,Male,13,Single,3,3,33000,55
TM498,38,Female,17,Married,6,5,62000,80
TM798,31,Male,19,Married,6,5,80000,160
TM195,26,Female,14,Single,2,2,30000,40
TM498,36,Male,16,Married,4,4,66000,90
TM798,29,Female,18,Married,5,5,89000,130
TM195,23,Male,13,Single,3,3,31000,50
TM498,33,Male,15,Married,5,4,64000,80
TM798,32,Female,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,32000,45
TM498,39,Male,16,Married,4,4,70000,85
TM798,30,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,34,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,25,Male,14,Single,3,3,34000,60
TM498,35,Female,18,Married,5,4,60000,75
TM798,40,Male,20,Married,6,5,80000,150
TM195,22,Female,13,Single,2,2,31000,50
TM498,30,Male,15,Married,4,3,55000,70
TM798,28,Female,17,Married,5,5,85000,140
TM195,21,Male,14,Single,2,2,32000,45
TM498,37,Male,16,Married,5,4,68000,85
TM798,33,Female,18,Married,5,5,88000,150
TM195,24,Male,13,Single,3,3,33000,55
TM498,38,Female,17,Married,6,5,62000,80
TM798,31,Male,19,Married,6,5,80000,160
TM195,26,Female,14,Single,2,2,30000,40
TM498,36,Male,16,Married,4,4,66000,90
TM798,29,Female,18,Married,5,5,89000,130
TM195,23,Male,13,Single,3,3,31000,50
TM498,35,Male,15,Married,5,4,64000,80
TM798,32,Female,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,32000,45
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,34,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
TM498,33,Female,15,Married,5,4,66000,90
TM798,35,Male,17,Married,6,5,89000,130
TM195,28,Male,14,Single,2,2,30000,40
TM498,32,Female,16,Married,4,4,64000,80
TM798,31,Male,18,Married,6,5,83000,140
TM195,24,Female,13,Single,3,3,31000,50
TM498,38,Male,15,Married,5,4,68000,85
TM798,29,Female,17,Married,5,5,89000,130
TM195,23,Male,14,Single,2,2,32000,45
TM498,35,Male,16,Married,4,4,66000,90
TM798,30,Female,18,Married,6,5,82000,150
TM195,21,Female,13,Single,3,3,33000,55
TM498,34,Male,15,Married,5,4,64000,80
TM798,32,Male,17,Married,6,5,83000,140
TM195,27,Female,14,Single,2,2,30000,40
TM498,39,Male,16,Married,4,4,70000,85
TM798,28,Male,18,Married,6,5,82000,150
TM195,20,Female,13,Single,3,3,33000,55
